证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
831628.OC,2010,2014-12-31,中信建投证券股份有限公司,非高新产业区,有色金属冶炼和压延加工业,,2014,12,西部超导,1486162126.68,486567279.6,414838281.9,267092455.02,6205790.27,42813851.68,21707265.71,77470113.44,,,19756493.11,139021945.02,415938509.81,6.014,21998681.27,1586960.53,-115938770.4,-96876493.5,105740122.81,2011-06-20,2010-12-31,挂牌前,-4
831687.OC,2009,2015-01-15,新时代证券股份有限公司,非高新产业区,皮革、毛皮、羽毛及其制品和制鞋业,,2015,1,亨达股份,548496606.56,285198659.88,368550663.39,231220326.18,13076206.04,29808744.55,7550168.13,72942985.66,3155838.91,69787146.75,12148578.92,81726367.73,126516256.87,15.5691,,,,,,,,挂牌前,-4
831730.OC,2010,2015-02-17,方正证券股份有限公司,非高新产业区,医药制造业,,2015,2,亚诺生物,185315419.2,62640690.17,167047247.2,135337967.95,7369013.21,10977205.67,7717951.25,4762071.93,,,-3200257.5,36723322.79,71369733.25,2.835,7996723.0,101111.23,-13497694.59,-3844357.99,-5396210.33,,,挂牌前,-4
831741.OC,2010,2015-01-22,长江证券股份有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,1,信音电子,609271516.32,235082678.71,697091717.99,457437724.32,62398000.31,56546654.48,9188257.54,86449847.9,-38795.67,86488643.57,127953738.57,251169089.18,152347453.71,16.0002,,,,,,,,挂牌前,-4
831844.OC,2010,2015-02-03,财达证券有限责任公司,非高新产业区,电气机械和器材制造业,,2015,2,会友线缆,133627024.28,108056680.78,207455633.38,176927496.48,4457701.51,4875088.05,459306.8,17139490.61,,,-3150852.46,52901359.31,29418515.71,14.5558,,,,,,,,挂牌前,-4
831866.OC,2009,2015-02-02,申万宏源证券有限公司,非高新产业区,化学原料和化学制品制造业,,2015,2,蔚林股份,188660491.54,96256427.93,179794701.22,142567153.33,6260322.17,10709558.91,1656627.61,19897811.43,3583400.0,16314400.0,11216676.04,23047939.08,91250082.32,11.1821,7769400.0,,-4014300.0,-18433800.0,4612400.0,,,挂牌前,-4
831899.OC,2010,2015-02-04,中泰证券股份有限公司,非高新产业区,商务服务业,,2015,2,山东再担,1067033438.07,986736385.62,52013287.28,,22612124.48,,,1112041.27,,,39570503.69,,31591994.44,0.231,2054985.11,17401206.75,,-3779954.26,3483489.31,,,挂牌前,-4
831928.OC,2010,2015-02-03,中信证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2015,2,开泰石化,469505717.12,200906281.41,594421370.23,465373993.14,13435596.28,45470864.29,10416715.67,47772782.75,,,74294912.86,23269195.41,270334641.5,10.4221,24641588.08,5159434.87,20415483.96,6130317.62,-42195807.3,,,挂牌前,-4
831934.OC,2010,2015-02-16,东吴证券股份有限公司,非高新产业区,仪器仪表制造业,,2015,2,宇迪光学,143295821.72,47125027.35,162272399.32,116186157.45,4298415.61,13255409.45,3167750.66,17565147.18,,,23106527.16,25240035.3,53717932.48,14.6267,,,,,,2012-08-20,2010-12-31,挂牌前,-4
831957.OC,2010,2015-02-10,广发证券股份有限公司,非高新产业区,电气机械和器材制造业,,2015,2,晨宇电气,109420132.05,50265274.48,26236690.54,21836854.3,522738.8,2729620.95,572503.71,231646.6,,,-4979795.54,16477962.6,53461177.05,0.2117,1692089.45,,-3256746.71,-6439969.53,1294706.68,,,挂牌前,-4
