证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
835042.OC,2009,2016-01-11,太平洋证券股份有限公司,非高新产业区,金属制品、机械和设备修理业,,2016,1,中加飞机,25205699.75,21722968.16,1493656,952491.88,2679.63,2714346.46,46403.73,-2370812.47,,,2745158.71,1683865.17,18244085.48,-9.4059,868433.59,139004.32,-317480,3181280.82,834293.45,,,挂牌前,-6
835042.OC,2010,2016-01-11,太平洋证券股份有限公司,非高新产业区,金属制品、机械和设备修理业,,2016,1,中加飞机,32877313.52,24597373.43,4994697,1581950.94,388779.93,2066452.23,328579.4,2874405.27,,,-190586.15,1587757.62,19486871.72,9.8976,1176618.97,139004.32,-1737388.26,-4685487.4,1606860.09,,,挂牌前,-5
835068.OC,2009,2016-01-11,中信建投证券股份有限公司,非高新产业区,畜牧业,,2016,1,星源农牧,57668624.68,31427157.39,34954755,27823535.86,51872.1,992038.87,,6878653.79,,,4907822.88,215224,27827882.66,11.9279,2531226.16,,521960.88,-463064,-4116609,,,挂牌前,-6
835068.OC,2010,2016-01-11,中信建投证券股份有限公司,非高新产业区,畜牧业,,2016,1,星源农牧,61976527.74,41772162.66,51079472.4,40097503.59,42736,1775459.92,327.5,11801466.83,,,5171638.64,719388.83,26785136.09,19.7274,4413297.25,,-957679.58,-1428164.83,-7000526.74,,,挂牌前,-5
835152.OC,2009,2015-12-25,中信建投证券股份有限公司,西安高新区,软件和信息技术服务业,,2015,12,未来国际,345060685.83,125825035.07,124790048.51,55156196.05,2060263.28,19083924.77,7212584.58,30233591.84,3071849.5,27161742.34,68095211.4,25041731.96,110972662,8.705,,,,,,,,挂牌前,-5
835159.OC,2008,2016-02-04,海通证券股份有限公司,非高新产业区,纺织服装、服饰业,,2016,2,兴诺科技,10758835.91,5379007.73,,,,,,,,,,321775.86,351835.2,,,,,,,,,挂牌前,-7
835159.OC,2009,2016-02-04,海通证券股份有限公司,非高新产业区,纺织服装、服饰业,,2016,2,兴诺科技,22762656.19,12076184.09,60395490.43,46988163.9,2449908.51,1684549.98,140994.96,6697176.36,,,-511117.24,5474744.22,356466.79,39.9575,140135.91,,-1713477.71,-5571587.22,-193356.08,,,挂牌前,-6
835159.OC,2010,2016-02-04,海通证券股份有限公司,非高新产业区,纺织服装、服饰业,,2016,2,兴诺科技,16089732.01,13245101.33,30195824.33,23332872.25,3071404.92,2517417.64,159028.05,1168917.24,,,4516361,1235958.51,1083030.77,6.0172,233820.02,,679268.22,5026940.59,-2341841.42,,,挂牌前,-5
835178.OC,2010,2016-01-04,天风证券股份有限公司,非高新产业区,非金属矿物制品业,,2016,1,武耀股份,281291300,224140600,,,,,,29958500,,,,,,,,,,,,,,挂牌前,-5
835185.OC,2010,2015-12-28,国信证券股份有限公司,非高新产业区,非金属矿物制品业,,2015,12,贝特瑞,764684300,620078800,413706000,,,,,78358400,,,,,,,,,,,,,,挂牌前,-5
835198.OC,2007,2016-01-13,中泰证券股份有限公司,非高新产业区,有色金属冶炼和压延加工业,,2016,1,松竹铝业,22231100,6081200,39398700,37424400,,,,81200,,,4440700,,,0.3653,,,,,,,,挂牌前,-8
835198.OC,2008,2016-01-13,中泰证券股份有限公司,非高新产业区,有色金属冶炼和压延加工业,,2016,1,松竹铝业,54804125.4,8072246.09,103713518.51,94947067.38,1806973.01,2396739.82,490900.05,1991023.36,,,-6798052.15,217215.9,11914150.79,5.1691,383406.04,,-6086617.24,7394764.23,-12356631.23,,,挂牌前,-7
835198.OC,2009,2016-01-13,中泰证券股份有限公司,非高新产业区,有色金属冶炼和压延加工业,,2016,1,松竹铝业,67979936.8,39332164.67,125796750.81,110517768.01,1923292.92,5920256.91,731655.83,5259918.58,,,10355691.16,831223.39,14867252.73,8.5678,1077410.11,,-7436583.77,11199869.35,-726666.39,,,挂牌前,-6
835198.OC,2010,2016-01-13,中泰证券股份有限公司,非高新产业区,有色金属冶炼和压延加工业,,2016,1,松竹铝业,84972266.32,44184609.97,139407811.63,126833476.46,2131502.55,4727971.05,141690.17,4852445.3,,,14722756.6,1224980.63,31709353.23,6.345,1890868.76,,-13004061.54,7865782.5,13391487.36,,,挂牌前,-5
835225.OC,2009,2016-01-06,中信建投证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2016,1,世纪空间,372119990.45,224696458.33,94639444.72,58176204.71,7667832.94,11966257.28,2089429.04,10224163.72,,,29022691.76,5961540,200774524.89,2.8198,3481581.47,,-17508646.8,11171668.88,16735527.07,,,挂牌前,-6
835225.OC,2010,2016-01-06,中信建投证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2016,1,世纪空间,376548256.16,248277825.4,115093514.84,61392164.15,12157560.44,18293047.6,1792843.29,15801141.81,,,-17552364.98,265500,207920434.33,4.308,3461131.35,,-17294236.39,12481102.61,-36642273.22,,,挂牌前,-5
835433.OC,2003,2016-01-14,华泰证券股份有限公司,非高新产业区,零售业,,2016,1,商之都,,,1921320000,,,,,,,,,,,,,,,,,,,挂牌前,-9
835433.OC,2004,2016-01-14,华泰证券股份有限公司,非高新产业区,零售业,,2016,1,商之都,,,3030000000,,,,,,,,,,,,,,,,,,,挂牌前,-8
835433.OC,2005,2016-01-14,华泰证券股份有限公司,非高新产业区,零售业,,2016,1,商之都,,,4554000000,,,,,,,,,,,,,,,,,,,挂牌前,-7
835433.OC,2006,2016-01-14,华泰证券股份有限公司,非高新产业区,零售业,,2016,1,商之都,,,5594000000,,,,,,,,,,,,,,,,,,,挂牌前,-6
835433.OC,2010,2016-01-14,华泰证券股份有限公司,非高新产业区,零售业,,2016,1,商之都,,,9048140000,,,,,,,,,,,,,,,,,,,挂牌前,-5
835568.OC,2009,2016-01-26,广发证券股份有限公司,广州高新区,生态保护和环境治理业,,2016,1,新大禹,,,190000000,,,,,,,,,,,,,,,,,,,挂牌前,-6
835568.OC,2010,2016-01-26,广发证券股份有限公司,广州高新区,生态保护和环境治理业,,2016,1,新大禹,,,255000000,,,,,,,,,,,,,,,,,,,挂牌前,-5
835627.OC,2008,2016-01-20,西南证券股份有限公司,非高新产业区,医药制造业,,2016,1,南松医药,30625811.13,29194893.06,44265315.13,31783263.66,782532.63,6471992,533844.56,5922035.87,,,18088343.39,2521210,5256769.49,19.3367,1056270.2,,902068.8,15932302.41,-5314888.17,,,挂牌前,-7
835627.OC,2009,2016-01-20,西南证券股份有限公司,非高新产业区,医药制造业,,2016,1,南松医药,35324764.5,32464455.16,24520946.64,17274010.45,588008.06,4130009.92,-39466.79,2909562.1,,,1829333.15,4397187.96,4574785.8,8.8235,1066665.07,,3363390.32,-6032996.23,679391.27,,,挂牌前,-6
