证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430304.OC,2010,2013-08-09,东方花旗证券有限公司,中关村科技园区,广播、电视、电影和影视录音制作业,,2013,8,每日视界,7696666.19,1206680.08,,,,,,,,,,251750,2915023.28,,,,,,,,,挂牌前,-3
430419.OC,2010,2014-01-24,东莞证券股份有限公司,东莞松山湖高新区,橡胶和塑料制品业,,2014,1,三凯股份,5055504.35,505532,9292897.93,8186958.33,58041.4,1618549.21,-1261.3,134333.25,601333.99,-467000.74,1162380.13,763858.89,2373740.85,2.6572,250368.87,310963.56,-348425.82,118847.52,678174.42,,,挂牌前,-3
430448.OC,2010,2014-01-24,大通证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,1,和航科技,6881748.5,5307938.94,6488291.48,3794216.57,745243.59,1676825.37,78758.99,188668.39,,,573985.31,426093,348322.53,2.7416,88350.12,,-255439.37,213596.3,221897.42,,,挂牌前,-3
430470.OC,2010,2014-01-24,广发证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,1,哲达科技,195950000,125810000,,,,,,19380000,,,,,,,,,,,,,,挂牌前,-3
430536.OC,2010,2014-01-24,西南证券股份有限公司,非高新产业区,木材加工和木、竹、藤、棕、草制品业,,2014,1,万通新材,9642783.67,1731135.82,17969090.97,15785514.01,595413.75,1107019.56,47051,249761.22,,,516541.91,4864202.5,2045749.65,2.5901,284125.52,308141.78,-782359.61,-3728381.51,4123476.57,,,挂牌前,-3
430578.OC,2010,2014-01-24,东北证券股份有限公司,长春高新区,商务服务业,,2014,1,差旅天下,17802162.51,17736339.76,,,,,,,,,,234907.21,54227.76,,,,,,,,,挂牌前,-3
430596.OC,2010,2014-01-24,申万宏源证券有限公司,非高新产业区,通用设备制造业,,2014,1,新达通,187218517.96,74532691.09,104836151.69,50371232.99,22296944,16941907.01,3863216.78,10372461.65,2545200,7827300,-16639747.26,34442646.72,20421341.18,5.5403,,,,,,,,挂牌前,-3
430655.OC,2010,2014-02-18,招商证券股份有限公司,广州高新区,化学原料和化学制品制造业,,2014,2,今泰科技,25568023.86,6017827.84,21892639.21,14362723.94,379481.95,5976617.6,61817.91,893037.76,,,6116559.21,6050993.46,6551694.44,3.4928,689316.33,199706.4,891308.46,-3189608.44,6271932.66,,,挂牌前,-3
430699.OC,2011,2014-05-05,方正证券股份有限公司,非高新产业区,批发业,,2014,5,海欣医药,115522252.73,30820382.97,300155908.41,281986962.76,9423659.03,3996241.51,661425.81,2839547.56,-5855.87,2845403.43,3805127.56,78964118.45,892203.67,2.4637,266616.09,62458.48,1229996.85,-7579578.41,6166597.92,,,挂牌前,-3
430718.OC,2011,2014-05-05,华安证券股份有限公司,合肥高新区,电气机械和器材制造业,,2014,5,合肥高科,161487834.7,42149564.08,155655343.91,134249356.59,4841523.95,15842681.56,1650927.14,-3006046.72,1259685.55,-4265732.27,-16731293.3,29141538.55,65921053.53,-1.6631,4163926.28,,1233763.12,-59516760.93,38324349.46,,,挂牌前,-3
430720.OC,2011,2014-05-07,中泰证券股份有限公司,中关村科技园区,批发业,,2014,5,东方炫辰,20334381.71,13412933.58,12611548.04,9349566.32,779628.9,2085191.17,-2781.42,211624.38,-146293.73,357918.11,91578.52,614365.95,75546.13,1.0407,37300.27,,-3453355.25,-2730413.35,6053613.27,,,挂牌前,-3
430722.OC,2011,2014-05-06,国泰君安证券股份有限公司,非高新产业区,专业技术服务业,,2014,5,鸿图建筑,44553036.75,7292147.15,37665640.28,22086512.23,669757.86,11732986.86,-26038.06,506060.21,76268.91,429791.3,1928844.3,6064674.9,25110215.58,1.1359,950433.59,587084.53,,-7016375.11,6757748.92,,,挂牌前,-3
430724.OC,2011,2014-05-05,长江证券股份有限公司,武汉东湖高新区,生态保护和环境治理业,,2014,5,芳笛环保,9679120.49,4426309.21,10926775.46,5949107.13,470770.93,1601413.1,-1610.12,2411540.85,-3635.47,2415176.32,306601.23,2299855.93,329469.54,24.9149,,,,,,,,挂牌前,-3
430725.OC,2011,2014-05-06,西部证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2014,5,九五智驾,52772810.45,34633832.55,69179880.15,47874254.83,1650711.17,11899437.28,-381244.12,4078878.76,-8534.88,4087413.64,9247334.97,3326412.43,4708041.66,7.7291,1664079.15,438750.92,-46020.5,2520088.86,955477.59,,,挂牌前,-3
430727.OC,2011,2014-05-06,中国民族证券有限责任公司,南昌高新区,软件和信息技术服务业,,2014,5,金格科技,20166321.12,19003031.88,15449561.48,2010909.74,5460873.15,7156263.53,-72604.01,2174027.32,527520.26,1646507.06,571614.67,1006079.95,3468177.34,10.7805,398459.73,11166.67,320750.69,-1657185.5,-804574.96,,,挂牌前,-3
